perm,order,seed,base_forgetting,gov_forgetting,diff_forgetting,base_overwritten,gov_overwritten,diff_overwritten,base_final,gov_final,diff_final
0,"vertical,xor_quadrant,diagonal,circle,horizontal",0,34.040000000000006,20.960000000000004,-13.080000000000002,42.550000000000004,26.200000000000006,-16.349999999999998,64.67,64.97,0.29999999999999716
0,"vertical,xor_quadrant,diagonal,circle,horizontal",1,32.92,23.110000000000003,-9.809999999999999,41.150000000000006,28.887500000000003,-12.262500000000003,65.07000000000001,64.99,-0.0800000000000125
0,"vertical,xor_quadrant,diagonal,circle,horizontal",2,34.239999999999995,19.78,-14.459999999999994,42.8,24.725,-18.074999999999996,64.57,64.67,0.10000000000000853
1,"horizontal,xor_quadrant,circle,diagonal,vertical",0,34.65,21.050000000000004,-13.599999999999994,43.3125,26.312500000000004,-16.999999999999996,64.17999999999999,64.1,-0.0799999999999983
1,"horizontal,xor_quadrant,circle,diagonal,vertical",1,34.709999999999994,22.35,-12.359999999999992,43.387499999999996,27.9375,-15.449999999999996,64.22999999999999,64.66,0.4300000000000068
1,"horizontal,xor_quadrant,circle,diagonal,vertical",2,33.69000000000001,18.78,-14.91000000000001,42.11250000000001,23.475,-18.63750000000001,64.67,64.75,0.0799999999999983
2,"vertical,circle,horizontal,diagonal,xor_quadrant",0,39.21,19.44,-19.77,49.0125,24.3,-24.712500000000002,59.8,68.70000000000002,8.90000000000002
2,"vertical,circle,horizontal,diagonal,xor_quadrant",1,38.7,18.999999999999996,-19.700000000000006,48.375,23.749999999999996,-24.625000000000004,60.02,69.74000000000001,9.720000000000006
2,"vertical,circle,horizontal,diagonal,xor_quadrant",2,40.07,20.119999999999997,-19.950000000000003,50.0875,25.15,-24.9375,59.23,67.74,8.509999999999998
3,"circle,vertical,diagonal,horizontal,xor_quadrant",0,40.21999999999999,30.140000000000008,-10.079999999999984,50.27499999999999,37.67500000000001,-12.59999999999998,58.85,56.94,-1.9100000000000037
3,"circle,vertical,diagonal,horizontal,xor_quadrant",1,39.290000000000006,17.04,-22.250000000000007,49.112500000000004,21.3,-27.812500000000004,59.71,71.03999999999999,11.329999999999991
3,"circle,vertical,diagonal,horizontal,xor_quadrant",2,40.45,18.11,-22.340000000000003,50.5625,22.6375,-27.925,57.910000000000004,68.06,10.149999999999999
4,"circle,vertical,xor_quadrant,diagonal,horizontal",0,34.19,22.690000000000005,-11.499999999999993,42.7375,28.362500000000004,-14.374999999999993,64.87,64.8,-0.07000000000000739
4,"circle,vertical,xor_quadrant,diagonal,horizontal",1,33.05,21.630000000000003,-11.419999999999995,41.3125,27.037500000000005,-14.274999999999995,65.06,65.19,0.12999999999999545
4,"circle,vertical,xor_quadrant,diagonal,horizontal",2,34.230000000000004,22.319999999999997,-11.910000000000007,42.7875,27.899999999999995,-14.887500000000006,64.69,64.69,0.0
5,"horizontal,xor_quadrant,diagonal,vertical,circle",0,40.06,30.020000000000003,-10.04,50.075,37.525000000000006,-12.549999999999997,58.96,55.35,-3.6099999999999994
5,"horizontal,xor_quadrant,diagonal,vertical,circle",1,39.58,32.48,-7.100000000000001,49.475,40.599999999999994,-8.875000000000007,58.98,55.44000000000001,-3.539999999999985
5,"horizontal,xor_quadrant,diagonal,vertical,circle",2,38.22,28.54,-9.68,47.775,35.675,-12.100000000000001,59.970000000000006,55.36,-4.6100000000000065
6,"diagonal,horizontal,vertical,xor_quadrant,circle",0,39.63000000000001,30.79000000000001,-8.84,49.53750000000001,38.48750000000001,-11.049999999999997,59.05,55.35,-3.6999999999999957
6,"diagonal,horizontal,vertical,xor_quadrant,circle",1,39.78,31.360000000000003,-8.419999999999998,49.725,39.2,-10.524999999999999,58.86,55.44000000000001,-3.4199999999999875
6,"diagonal,horizontal,vertical,xor_quadrant,circle",2,38.78,33.220000000000006,-5.559999999999995,48.475,41.525000000000006,-6.949999999999996,60.25999999999999,56.04,-4.219999999999992
7,"diagonal,vertical,xor_quadrant,horizontal,circle",0,39.14,32.39,-6.75,48.925000000000004,40.4875,-8.437500000000007,59.46,55.35,-4.109999999999999
7,"diagonal,vertical,xor_quadrant,horizontal,circle",1,39.660000000000004,33.18,-6.480000000000004,49.575,41.475,-8.100000000000001,59.08,55.44000000000001,-3.6399999999999864
7,"diagonal,vertical,xor_quadrant,horizontal,circle",2,38.239999999999995,29.459999999999997,-8.779999999999998,47.8,36.824999999999996,-10.975000000000001,60.23,55.35999999999999,-4.8700000000000045
8,"xor_quadrant,vertical,horizontal,diagonal,circle",0,39.6,32.69,-6.910000000000004,49.5,40.8625,-8.637500000000003,59.660000000000004,55.529999999999994,-4.13000000000001
8,"xor_quadrant,vertical,horizontal,diagonal,circle",1,40.79,29.200000000000006,-11.589999999999993,50.9875,36.50000000000001,-14.48749999999999,57.27,55.44,-1.8300000000000054
8,"xor_quadrant,vertical,horizontal,diagonal,circle",2,38.7,31.43,-7.270000000000003,48.37500000000001,39.2875,-9.087500000000006,60.31999999999999,55.36,-4.959999999999994
9,"xor_quadrant,diagonal,vertical,circle,horizontal",0,34.42,24.4,-10.020000000000003,43.025,30.5,-12.524999999999999,64.83,65.17999999999999,0.3499999999999943
9,"xor_quadrant,diagonal,vertical,circle,horizontal",1,32.87,22.05,-10.819999999999997,41.0875,27.5625,-13.524999999999999,65.03,64.91,-0.12000000000000455
9,"xor_quadrant,diagonal,vertical,circle,horizontal",2,34.019999999999996,21.880000000000003,-12.139999999999993,42.525,27.35,-15.174999999999997,64.71000000000001,65.38000000000001,0.6700000000000017
